"vendor_id","pickup_datetime","dropoff_datetime","passenger_count","trip_distance","pickup_longitude","pickup_latitude","rate_code","store_and_fwd_flag","dropoff_longitude","dropoff_latitude","payment_type","fare_amount","surcharge","mta_tax","tip_amount","tolls_amount","total_amount"
"CMT","2014-12-11T17:23:33Z","2014-12-11T17:30:22Z","1","1","-74.008819","40.718828","1","N","-74.00248","40.728986","CRD","6","1","0.5","2.25","0","9.75"
"CMT","2014-12-11T17:59:24Z","2014-12-11T18:24:16Z","2","1.7","-73.968658","40.764862","1","N","-73.983978","40.74333","CRD","15.5","1","0.5","3.4","0","20.4"
"CMT","2014-12-11T18:26:07Z","2014-12-11T18:30:41Z","1","0.7","-73.970819","40.788637","1","N","-73.970044","40.796689","CRD","5.5","1","0.5","1.4","0","8.4"
"CMT","2014-12-11T18:56:48Z","2014-12-11T19:17:30Z","1","3.1","-73.964467","40.756971","1","N","-73.968522","40.786306","CRD","15","1","0.5","3.3","0","19.8"
"CMT","2014-12-11T18:59:15Z","2014-12-11T19:42:00Z","1","11.3","-74.000477","40.729903","1","N","-73.861016","40.760519","CRD","39.5","1","0.5","8.2","0","49.2"
"CMT","2014-12-11T21:17:07Z","2014-12-11T21:36:55Z","2","5","-74.001024","40.747169","1","N","-73.967121","40.803486","CRD","19","0.5","0.5","4","0","24"
"CMT","2014-12-11T21:31:20Z","2014-12-11T21:37:10Z","1","0.8","-73.981156","40.744158","1","N","-73.991423","40.740808","CRD","5.5","0.5","0.5","1","0","7.5"
"CMT","2014-12-11T22:33:38Z","2014-12-11T22:43:12Z","1","1.3","-73.971654","40.750377","1","N","-73.975932","40.76454","CRD","8","0.5","0.5","1.8","0","10.8"
"CMT","2014-12-11T22:43:32Z","2014-12-11T23:05:33Z","1","3.9","-74.000039","40.729016","1","N","-73.967803","40.683722","CRD","17.5","0.5","0.5","4.62","0","23.12"
"CMT","2014-12-12T01:10:12Z","2014-12-12T01:10:45Z","1","0.1","-73.961684","40.714391","1","N","-73.961204","40.715559","CRD","2.5","0.5","0.5","1.05","0","4.55"